fips,democrat,republican,total
48039,34421,70862,106739
26031,5831,7286,13311
20139,2268,4427,6906
51145,4088,11200,15525
31007,55,346,411
36067,122254,78831,204717
,2463,936,3543
53063,102295,115285,223830
48181,10670,30936,42264
13157,4238,19135,23686
29155,2671,3598,6335
20165,367,1166,1570
19095,4144,4569,8866
08099,1519,3230,4863
05089,2037,4774,7051
26147,33983,39271,74181
12059,1264,6919,8274
13165,1488,1887,3390
28039,1359,8376,9856
51083,7766,8694,16692
13321,2487,5869,8416
28017,4378,3994,8503
48257,9472,24846,34670
48069,630,1470,2119
41045,2759,6851,9956
40001,2127,4381,6508
53037,7949,9782,18171
27017,11389,6586,18436
13133,3201,5071,8323
36023,10482,8695,19624
20047,298,1059,1385
09007,47855,34591,83492
01111,3078,7224,10421
29205,966,2188,3232
28151,13981,5651,19715
39141,14569,15008,30083
30109,98,421,544
13099,2765,2557,5353
51079,3290,5569,9023
39101,12504,14265,27352
46035,3042,4757,7971
37009,4116,8242,12610
40141,906,1815,2721
51650,46966,18640,66490
42035,5734,7303,13265
27137,73378,39131,115594
34039,139752,68314,209831
47039,1303,2874,4251
13173,1114,1820,2972
18089,130897,68431,201758
26081,133408,155925,292985
06019,129129,124490,258827
48347,6465,13925,20653
47105,5058,16707,22073
17129,2100,3948,6151
27133,1946,2810,4846
48051,1705,4671,6456
19073,2375,2380,4846
48381,7574,41447,49696
12127,114748,117490,234536
06063,4026,5721,10047
40149,822,3494,4316
17163,67285,50125,119466
38041,313,1000,1362
54099,4931,8688,13955
45049,5834,3312,9206
56005,2163,14953,17571
12021,51698,96520,149112
47135,992,1578,2621
51590,12218,7763,20204
51175,4437,4733,9264
48111,253,1248,1534
20049,281,1049,1369
51169,2395,7439,9992
26053,4058,3444,7576
42007,37055,42344,80474
22065,3154,2000,5187
01113,10500,8278,18910
01055,12803,29130,42624
01125,32048,45748,78772
18019,20807,25450,47146
49013,581,5698,6379
20097,163,976,1144
17059,1029,1492,2573
01081,21381,32194,54496
40003,322,1761,2083
08055,1953,1646,3714
54087,1939,2982,5047
48465,6285,5635,12081
17149,2278,4860,7286
42017,160521,156579,321016
48177,1777,4216,6057
22015,12956,34988,48562
21185,9240,20179,29884
29149,1419,2886,4421
22121,5692,6922,12774
27049,12212,12986,25801
18161,1018,2022,3100
01099,4914,5741,10717
29097,12809,31349,45218
26113,2274,4665,7027
30051,257,702,988
21205,3438,4035,7665
55073,32363,36617,69862
39143,14541,13755,28994
36057,8493,9334,18186
36113,14806,14119,29578
31121,925,2490,3489
47029,2804,8459,11454
18037,6522,11654,18542
13291,2139,8773,11076
17187,4044,3618,7793
05143,28236,39688,70460
34015,74013,59456,135186
31067,3903,5513,9661
05117,880,2153,3141
06075,301723,47076,361209
42003,352687,262039,622081
48187,15744,33117,49514
39019,5543,7315,13262
31045,1132,2478,3728
29017,1213,4095,5456
46033,1335,3062,4520
39169,19808,30251,51064
37079,3778,4411,8236
19183,5115,5562,11004
53039,4598,5316,10274
54013,818,1319,2207
45091,39131,59546,100210
20061,3332,4372,7845
31069,242,829,1091
27047,9326,6969,16706
21071,4733,9784,14890
39009,18307,8543,27638
17139,2144,3784,6057
17159,2362,4756,7282
37007,7019,4166,11256
55139,45449,42122,89173
21173,3701,6398,10248
55029,9357,8121,17671
39059,7450,8993,16814
12015,35906,47996,84682
08019,3119,2430,5743
18179,3436,9256,12935
36009,12649,16569,30459
19015,7512,6556,14388
42031,5056,10828,16186
48385,277,1236,1535
31029,254,1584,1867
53041,12664,20452,34044
53025,8950,17852,27558
40153,1133,5945,7078
42087,4273,11939,16371
36071,73315,65367,140628
21073,11535,11345,23337
54089,1621,2981,4735
01123,6319,12396,18851
12033,58185,88711,148502
17005,3020,4095,7336
29087,551,1725,2310
40095,1396,3744,5140
42075,19900,35872,56580
24041,8808,11339,20459
39151,89432,88581,181477
49005,6244,35039,42293
40075,1106,2316,3422
27033,2433,3316,5862
55101,53008,49347,103364
13293,3959,7230,11263
48127,2141,762,2917
29203,1302,2262,3692
40033,657,1796,2453
53051,2508,3952,6668
36081,470732,118589,595245
13121,255470,137124,397255
48353,1216,3282,4575
48309,25694,47903,74541
23031,61551,43900,109483
08105,2478,2918,5533
06053,82920,37390,123518
51041,77694,90934,170988
41071,19260,22045,42907
28089,20722,28507,49571
31165,101,624,739
54095,890,2314,3279
06043,3498,5140,9000
35061,13511,12825,27728
38043,393,870,1328
05063,3281,8728,12397
48287,1632,4507,6221
26005,20806,31123,52619
29223,1813,3790,5720
47163,15321,43562,59887
16031,1098,7154,8396
06051,2733,2285,5181
17073,12332,11583,24322
13319,2181,2246,4450
42085,24232,25925,50863
20199,68,719,798
29055,2951,6434,9579
20123,584,2327,2965
16017,6500,11367,18536
41011,12845,14673,28686
39015,7107,11916,19392
08115,419,881,1337
33015,80142,87921,170423
27003,88614,93430,186465
48437,579,1655,2270
48211,192,1298,1509
35023,995,899,1935
42055,18995,43260,63078
21227,16805,26384,43903
55019,6172,7412,13801
31171,42,360,408
