county_fips,democrat,republican,total
01001,9847,26288,36786
01003,28742,114309,145971
01005,8931,7437,16479
01007,3397,10285,13823
01009,3376,34840,38642
01011,6448,1415,7895
01013,6598,6712,13388
01015,22033,49648,73059
01017,10489,11482,22183
01019,2403,12345,14921
01021,4418,21276,25974
01023,5661,5532,11251
01025,10427,10564,21107
01027,2024,6985,9118
01029,1050,8610,9770
01031,7103,21979,29582
01033,12769,23544,36931
01035,5788,4681,10530
01037,3071,5057,8195
01039,4094,18858,23171
01041,2991,6103,9173
01043,5937,49693,56451
01045,7471,19218,27101
01047,23351,7825,31296
01049,5884,31582,38091
01051,13091,38190,52131
01053,8394,14433,23060
01055,17993,47883,66875
01057,2268,9677,12078
01059,3420,12180,15892
01061,2530,13426,16129
01063,7555,1209,8782
01065,8983,4556,13605
01067,4065,7625,11798
01069,18125,41339,60387
01071,5723,23121,29323
01073,156384,134498,496360
01075,1768,8446,10291
01077,15509,39059,55777
01079,6107,15516,21903
01081,35482,54231,92107
01083,14541,40876,56674
01085,8748,2466,11257
01087,13501,1984,15603
01089,99748,132859,240482
01091,9935,7062,17114
01093,2271,16111,18589
01095,7548,43060,51444
01097,125215,150672,279896
01099,8018,8513,16636
01101,101891,48695,152562
01103,18608,56481,76475
01105,7256,1980,9265
01107,7296,7055,14419
01109,8752,10447,19504
01111,3974,10834,14951
01113,17236,14103,31688
01115,9005,49462,59275
01117,35213,114727,153375
01119,9051,2193,11315
01121,22174,31838,54529
01123,9860,19491,29636
01125,53228,72886,128377
01127,7154,34732,42652
01129,4355,7899,12349
01131,7842,2393,10264
01133,1315,14160,15635
04001,17083,8240,27013
04003,17448,28080,48913
04005,32404,21108,57904
04007,7003,14182,22200
04009,3301,8025,11939
04011,1092,1892,3243
04012,1575,4003,5862
04013,702907,747361,1536743
04015,17455,58282,79116
04017,16459,20577,39149
04019,224661,167428,413909
04021,47892,72819,127197
04023,11690,3897,16240
04025,35590,71330,112504
04027,24605,25165,52292
05001,1939,3826,10766
05003,2408,5338,14520
05005,4169,14682,19766
05007,28005,60871,171098
05009,2926,12235,26438
05011,1317,2164,6754
05013,639,1556,2269
05015,3342,6786,18258
05017,2350,1716,4176
05019,3620,4404,15351
05021,1199,3781,5200
05023,2101,9458,19902
05025,723,2462,3354
05027,3140,5456,25159
05029,2656,4849,13515
05031,10538,22892,35573
05033,4488,16686,22450
05035,8410,6964,27935
05037,1999,4584,6874
05039,1165,1509,2771
05041,2228,1919,7508
05043,2365,3968,6595
05045,14629,29346,74251
05047,1376,5039,6770
05049,1067,3471,7701
05051,12311,26087,68506
05053,1373,5725,12648
05055,3071,10720,23684
05057,2377,4401,7049
05059,3149,8172,11944
05061,1351,3157,4674
05063,2881,9936,13614
05065,1113,4042,9155
05067,1583,3267,8197
05069,15772,9250,25894
05071,2427,6091,16055
05073,1032,1758,2860
05075,1263,4064,10554
05077,1735,1229,5181
05079,1252,2455,3826
05081,1397,3605,8235
05083,1715,5746,14321
05085,5664,19958,27100
05087,1588,4928,6841
05089,1434,5336,7107
05091,4273,11294,26352
05093,5670,7061,13204
05095,1312,1489,5102
05097,748,2643,3559
05099,1157,2000,5302
05101,699,2875,3753
05103,4321,5351,9935
05105,1049,3008,6839
05107,4310,2446,12079
05109,685,3150,3981
05111,1880,5502,7722
05113,1212,6618,13108
05115,5000,16256,39529
05117,814,2505,5395
05119,89574,61257,257618
05121,1425,4509,6379
05123,4031,3195,13329
05125,13256,35863,86109
05127,602,2731,6136
05129,601,2955,3728
05131,12300,29127,44637
05133,1075,3282,7556
05135,1472,5407,12814
05137,1203,4113,5618
05139,5855,10456,26997
05141,1549,5382,7339
05143,33366,41476,81861
05145,5170,21077,47877
05147,1118,1347,2571
05149,1480,4608,6439
06001,514842,95922,659543
06003,334,217,602
06005,6004,10485,17963
06007,41567,45144,97002
06009,7944,13511,23531
06011,2661,3551,6697
06013,319287,115956,473014
06015,3485,5134,9558
06017,36404,49247,92293
06019,141341,124049,287062
06021,3065,5788,9470
06023,33200,18373,59878
06025,32667,12704,48091
06027,3155,4248,8179
06029,98689,129584,244163
06031,13617,18093,34310
06033,11500,10603,24684
06035,2224,7574,10699
06037,2464364,769743,3434308
06039,17029,23357,43507
06041,108707,21771,140683
06043,3122,5185,8877
06045,22079,10888,37915
06047,37317,28725,71127
06049,877,2696,3843
06051,2773,2111,5281
06053,89088,34895,132014
06055,39199,17411,61372
06057,26053,23365,54935
06059,609961,507148,1197521
06061,73509,95138,185047
06063,3459,5420,9850
06065,373695,333243,751391
06067,326023,189789,562285
06069,12521,7841,22122
06071,340818,271225,653949
06073,735476,477766,1306400
06075,345084,37688,408541
06077,121124,88936,227002
06079,67107,56164,137202
06081,237882,57929,314439
06083,107142,56365,178878
06085,512972,145138,705339
06087,95249,22438,128821
06089,22301,51778,79090
06091,601,1048,1858
06093,7234,11341,20510
06095,102360,51920,168131
06097,160435,51408,231251
06099,81647,78494,174406
06101,13076,18176,33824
06103,6809,15494,23908
06105,2214,2812,5784
06107,47585,58299,114496
06109,9123,14551,25893
06111,194402,132323,356102
06113,54752,20739,82090
06115,7910,13170,23204
08001,96558,80082,193677
08003,3189,3046,6939
08005,159885,117053,303048
08007,2500,4264,7339
08009,283,1753,2153
08011,590,1188,1927
08013,132334,41396,188145
08014,19731,14367,37690
08015,4888,5391,11250
08017,132,925,1102
08019,2729,2575,5866
08021,1771,1914,4022
08023,1125,588,1848
08025,339,1079,1527
08027,797,2061,3066
08029,4087,11655,16790
08031,244551,62690,331852
08033,242,944,1255
08035,68657,102573,187500
08037,14099,8990,25223
08039,3134,11705,15980
08041,108010,179228,318968
08043,5297,15122,21973
08045,11271,13132,26470
08047,1634,1566,3576
08049,3358,4494,8588
08051,5128,3289,9412
08053,197,339,589
08055,1633,1883,3783
08057,171,629,861
08059,160776,138177,328883
08061,91,728,855
08063,536,2967,3702
08065,1616,1270,3199
08067,15525,12587,31150
08069,93113,83430,195981
08071,2650,3710,6793
08073,409,1892,2436
08075,1851,7282,9722
08077,21729,49779,77654
08079,237,344,652
08081,874,5305,6525
08083,3973,7853,12858
08085,5466,14382,21186
08087,3151,8145,11960
08089,2943,4928,8452
08091,1697,1351,3310
08093,3421,6135,10417
08095,436,1791,2332
08097,7333,2550,10523
08099,1186,3531,5016
08101,35875,36265,78646
08103,436,2791,3450
08105,2001,3085,5534
08107,7600,5230,13986
08109,1417,1147,2835
08111,265,215,506
08113,2975,1033,4329
08115,267,1015,1364
08117,9557,5100,16174
08119,3603,9745,14444
08121,296,2299,2733
08123,46519,76651,135430
08125,726,3850,4791
09001,243852,160077,421164
09003,240403,148173,406863
09005,39775,53051,97442
09007,45357,38867,88624
09009,205609,159048,379006
09011,62278,54058,123520
09013,38506,34194,77424
09015,21792,25747,50823
10001,26471,29041,59076
10003,169799,93475,278632
10005,39333,62611,106106
11001,282830,12723,304717
12001,75820,46834,128569
12003,2112,10294,12634
12005,21797,62194,87449
12007,2924,8913,12098
12009,119679,181848,314744
12011,553320,260951,831950
12013,1241,4655,6081
12015,33445,60218,96371
12017,22789,54456,79699
12019,27822,74963,106483
12021,61085,105423,170788
12023,7601,20368,28707
12027,3781,6778,10818
12029,1270,5822,7202
12031,205704,211672,432684
12033,57461,88808,152467
12035,22026,33850,57503
12037,1744,4125,6015
12039,15020,6728,22113
12041,1458,6740,8420
12043,1271,2996,4353
12045,1720,5329,7293
12047,1904,3443,5460
12049,2149,5242,7583
12051,4615,6195,11115
12053,31795,58970,93793
12055,14937,29565,45686
12057,307896,266870,597646
12059,853,7483,8514
12061,29043,48620,80007
12063,6397,14257,21039
12065,3541,3930,7645
12067,518,2809,3392
12069,62838,102188,170462
12071,124908,191551,326418
12073,92068,53821,152115
12075,5101,13775,19395
12077,651,2543,3296
12079,3526,4851,8505
12081,71224,101944,178954
12083,62041,107833,174698
12085,30185,53204,85792
12086,624146,333999,980204
12087,18971,21904,42478
12089,10869,34266,46607
12091,23780,71893,100852
12093,3959,9356,13653
12095,329894,195216,546263
12097,85458,50301,140206
12099,374673,272402,662322
12101,90142,142101,241131
12103,233701,239201,492393
12105,117433,157430,284311
12107,10094,22138,33117
12109,43099,88684,136513
12111,66881,70289,140847
12113,18464,65339,87744
12115,97870,124438,229058
12117,105913,109436,224877
12119,22638,52730,76664
12121,3964,14287,18693
12123,2152,6930,9290
12125,1014,4568,5694
12127,109091,143007,260860
12129,4348,10512,15350
12131,6876,25756,33637
12133,2264,8637,11156
13001,1434,5494,7012
13003,697,1878,2610
13005,608,3364,4020
13007,650,775,1440
13009,7970,7697,16116
13011,684,6134,6975
13013,6580,21108,29061
13015,8212,29911,39550
13017,2101,3739,5936
13019,1047,5422,6590
13021,36787,24043,62596
13023,1101,3719,4974
13025,619,5567,6301
13027,2528,3701,6336
13029,4014,10529,15173
13031,9261,15097,25316
13033,4731,4491,9351
13035,2566,6717,9514
13037,1179,830,2025
13039,5930,12310,18901
13043,1026,2664,3763
13045,12464,30029,44121
13047,4771,20876,26757
13049,1004,2951,4016
13051,62290,45688,112142
13053,594,751,1390
13055,1613,6462,8252
13057,25231,80649,112043
13059,29603,12717,44976
13061,697,566,1273
13063,78220,12645,92859
13065,686,1727,2455
13067,160121,152912,330819
13069,4094,9588,13915
13071,3463,9898,13624
13073,18887,43085,64743
13075,1753,4176,6057
13077,16583,42533,61745
13079,1421,3635,5176
13081,2837,4549,7512
13083,965,5051,6242
13085,1448,9900,11765
13087,4124,6020,10286
13089,251370,51468,314757
13091,1839,5021,7009
13093,1872,1951,3859
13095,23311,10232,34087
13097,31005,24817,57738
13099,2168,2552,4785
13101,156,1007,1182
13103,4853,17874,23458
13105,2539,5292,7987
13107,2435,5335,7860
13109,1130,2404,3613
13111,1923,9632,11812
13113,23284,35048,60913
13115,9159,24114,34608
13117,23462,69851,98221
13119,1243,7054,8502
13121,297051,117783,431391
13123,1965,10477,12773
13125,138,1235,1390
13127,11775,21512,34263
13129,3181,15191,18959
13131,3013,6053,9213
13133,3199,5490,8852
13135,166153,146989,328331
13137,2483,13190,16243
13139,16180,51733,70694
13141,2701,843,3580
13143,1475,9585,11357
13145,4086,11936,16502
13147,2585,7286,10117
13149,743,3370,4223
13151,50057,45724,98766
13153,22553,35430,60079
13155,891,2716,3670
13157,4491,21784,27190
13159,1544,4360,6045
13161,901,4104,5096
13163,3821,3063,6968
13165,1123,1895,3056
13167,1136,2519,3686
13169,3961,8305,12551
13171,2270,5190,7612
13173,806,1984,2871
13175,6752,12411,19530
13177,3170,10646,14143
13179,9556,6134,16143
13181,1273,2759,4102
13183,1360,2626,4117
13185,15064,21635,37805
13187,2220,9619,12425
13189,3699,5432,9268
13191,2303,3487,5903
13193,2705,1540,4287
13195,2425,9201,11998
13197,1213,1921,3190
13199,3804,5222,9217
13201,623,1891,2544
13205,3493,4279,7880
13207,3571,8832,12687
13209,847,2670,3576
13211,2663,6559,9475
13213,1800,10341,12458
13215,39851,26976,69032
13217,21943,20913,43987
13219,5581,13425,20149
13221,1831,4625,6674
13223,18025,44662,64890
13225,5100,5413,10752
13227,1979,11651,14058
13229,903,6302,7311
13231,1240,7278,8725
13233,2867,11014,14215
13235,1104,2437,3605
13237,2758,6544,9488
13239,461,575,1044
13241,1444,6287,7992
13243,1598,1271,2899
13245,48814,24461,75515
13247,23255,13478,37869
13249,401,1472,1909
13251,2300,3305,5715
13253,1189,2345,3588
13255,9357,15646,25704
13257,1837,7686,9815
13259,1222,805,2058
13261,5520,5276,10974
13263,2002,1196,3246
13265,545,349,897
13267,1681,5096,6903
13269,1296,2064,3408
13271,1313,2450,3796
13273,2267,1874,4189
13275,7142,11228,18802
13277,4347,9584,14219
13279,2338,6615,9138
13281,1210,5383,6764
13283,862,1809,2703
13285,9713,15750,26111
13287,1246,2095,3398
13289,1971,2035,4059
13291,1963,9852,12063
13293,3475,7292,10934
13295,4215,18950,23956
13297,8292,31125,40698
13299,3440,8513,12184
13301,1314,991,2334
13303,4200,4149,8461
13305,2041,8153,10413
13307,473,630,1116
13309,646,1421,2102
13311,1674,9761,11823
13313,7937,21537,30658
13315,852,2096,2976
13317,1848,2572,4486
13319,1894,2333,4287
13321,2020,6152,8295
15001,41259,17501,64867
15003,175696,90326,285790
15007,16456,7574,26335
15009,33480,13446,51945
16001,75677,93752,195669
16003,415,1556,2183
16005,10342,17180,33416
16007,255,2203,2928
16009,770,3103,4185
16011,2924,10907,16625
16013,6416,3340,10724
16015,777,2673,3814
16017,5819,13343,20943
16019,8930,26699,44209
16021,933,3789,5163
16023,160,914,1230
16025,110,410,590
16027,16883,47222,72785
